,MSE,PCC-delta,E-distance,Wasserstein,KL-divergence,Common-DEGs,condition
0,38.332035,0.007407886639018951,317.38046777117546,-9.49771754417726e-09,inf,0.73,TAF3+ctrl
1,121.90774,-0.6504867505173471,626.6060087291844,-9.478834228700143e-09,inf,0.52,AURKB+ctrl
2,24.4378,0.8039354494987598,263.6993709515774,-9.47031847313186e-09,inf,0.7,WARS+ctrl
3,52.63643,-0.06919958403781132,440.8107366658443,-9.489588333841051e-09,inf,0.62,TOP2A+ctrl
4,29.387249,0.8438444936930736,284.386654101971,-9.494211501475584e-09,inf,0.69,ACTR3+ctrl
5,24.828135,0.7861342329870715,290.0360405206087,-9.491808636801525e-09,inf,0.7,BIRC5+ctrl
6,41.351948,-0.583136092057646,331.49710200467473,-9.506841160848988e-09,0.126297177316192,0.51,CDC20+ctrl
7,35.064022,0.20069650058885768,301.94544455003694,-9.48954977211773e-09,0.15641509560257802,0.73,UTP20+ctrl
