metric,numDEG,mean_performance,std_performance
euclidean,100,4.4046125,2.7425889658378844
euclidean,5000,15.091574999999999,7.2901697249985675
mmd,100,25.982400000000002,34.566262383014866
mmd,5000,274.258425,293.9056288659374
mse,100,0.2598375,0.3456371918542001
mse,5000,0.054862499999999995,0.058783402358634725
pearson_distance,100,1.08565,0.4908251361592174
pearson_distance,5000,0.9227625,0.1389977177356315
sym_kldiv,100,35.568942265872145,20.173616651466997
sym_kldiv,5000,32.30327065422757,17.16486885595701
wasserstein,100,37.71425,37.05887190669925
wasserstein,5000,1188.7213375000001,149.3067286582216
